Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
GRENADE PULPE ET PÉPINS FRAÎCHE,285,65,80.97,0.95,17.17,0.30,,,,,,,,0.00,,0.60,,0.61,,,0.04,0.05,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.00,0.06,,,0.00,,3.00,,0.07,0.30,,3.00,0.57,8.00,259.00,0.60,3.00,0.12,10.00,40.00,,0.60,4.60,6.10,0.03,0.03,0.30,0.60,0.11,6,6000
KIWI FRAIS,255,61,83.07,1.14,14.66,0.52,,4.36,,4.12,,0.15,0.19,2.67,,3.00,,0.61,,,0.03,0.05,0.29,,,,,,,,,,,0.04,0.25,,,0.00,,34.00,,0.13,0.31,,17.00,0.10,34.00,312.00,0.20,3.00,0.14,8.00,52.00,,1.46,40.30,92.70,0.03,0.03,0.34,0.18,0.06,25,25000
MANGUE PULPE FRAÎCH E,272,65,81.71,0.51,17.00,0.27,,,,,,,,0.40,,1.80,,0.50,,,0.07,0.10,0.05,,,,,,,,,,,0.04,0.01,,,0.00,,10.00,,0.11,0.13,,9.00,0.03,11.00,156.00,0.60,2.00,0.04,76.00,445.00,,1.12,4.20,27.70,0;06,0.06,0.58,0.16,0.13,14,14000
FIGUE FRAÎCHE,310,74,79.11,0.75,19.18,0.30,,,,,,,,0.02,,2.90,,0.66,,,0.06,0.07,0.14,,,,,,,,,,,0.00,0.14,,,0.00,,35.00,,0.07,0.37,,17.00,0.13,14.00,232.00,0.20,1.00,0.15,14.00,85.00,,0.11,4.70,2.00,0.06,0.05,0.40,0.30,0.11,6,6000
MÛRE NOIRE FRAÎCHE,180,43,88.15,1.39,9.61,0.49,,,,,,,,,,,,0.37,,,0.01,0.05,0.28,,,,,,,,,,,0.09,0.19,,,0.00,,29.00,,0.17,0.62,,20.00,0.65,22.00,162.00,0.40,1.00,0.53,22.00,128.00,,1.17,19.80,21.00,0.02,0.03,0.65,0.28,0.03,25,25000
NECTARINE FRAÎCHE,205,49,86.28,0.94,11.78,0.46,,1.10,,1.20,,,6.20,,,1.60,,0.54,,,0.00,0.00,,,,,,,,,,,,,,,,0.00,,5.00,,0.07,0.15,,8.00,0.04,16.00,212.00,0.40,0.00,0.00,74.00,,,,,5.40,0.02,0.04,0.99,0.16,0.03,3.7,3700
NÈFLE PULPE FRAÎCHE,197,47,86.73,0.43,12.14,0.20,,,,,,,,4.04,,1.70,,0.50,,,0.04,0.01,0.09,,,,,,,,,,,0.01,0.08,,,0.00,,16.00,,0.04,0.28,,13.00,0.15,27.00,266.00,0.60,1.00,0.05,152.00,,,0.89,,1.00,0.02,0.02,0.18,,0.10,14,14000
NOIX DE COCO FRAÎCHE,1481,354,46.99,3.33,9.82,33.49,,,,,,,,0.00,,9.00,,0.97,,,29.70,1.43,0.37,,,,,,,,,,,0.00,0.37,,,0.00,,14.00,,0.44,2.43,1.00,32.00,1.50,113.00,356.00,10.10,20.00,1.10,0.00,0.00,,0.24,0.20,3.30,0.07,0.02,0.54,0.30,0.05,26,26000
OLIVE NOIRE EN SAUMURE,1176,281,58.30,1.63,9.36,26.34,,0.00,,0.00,,0.00,0.00,8.55,,0.81,,4.37,,,3.16,20.18,3;00,,,,,,,,,,,0.00,0.00,,,0.00,,53.20,,,0.63,,,,,,,1630.00,,6.00,,,,,0.00,,,,,,,
OLIVE VERTE EN SAUMURE,431,103,76.50,0.90,0.00,11.00,,0.00,,0.00,,0.00,0.00,0.00,,2.90,,,,,1.70,5.70,1.30,,,,,,,,,,,,,,,0.00,,61.00,,0.23,0.00,,22.00,,17.00,91.00,,2250.00,,0.00,180.00,0.00,1.99,,0.00,0.00,0.00,0.00,0.02,0.02,0,0
ORANGE DOUCE PULPE FRAÎCHE,192,46,87.14,0.70,11.54,0.21,,,,,,,,0.00,,2.40,,0.41,,,0.03,0.04,0.04,,,,,,,,,,,0.01,0.03,,,0.00,,43.00,,0.04,0.09,2.00,10.00,0.02,12.00,169.00,0;50,0.00,0.08,22.00,71.00,,0.18,0.00,45.00,0.10,0.04,0.40,0.25,0.05,17,17000
PAMPLEMOUSSE PULPE FRAIS,138,33,90.48,0.69,8.41,0;10,,,,,,,,0.00,,1.10,,0.33,,,0.01,0.01,0.02,,,,,,,,,,,0.01,0.02,,,0.00,,12.00,,0.05,0.06,,9.00,0.01,8.00,148.00,1.40,0.00,0.07,4.00,14.00,,0.13,0.00,33.30,0.04,0.02,0.27,0.28,0.04,10,10000
PASTÈQUE PULPE FRAÎCHE,126,30,91.45,0.61,7.55,0.15,,3.35,,1.58,,0.06,1.21,0.95,,0.40,,0.25,,,0.02,0.04,0.05,,,,,,,,,,,0.00,0.05,,,0.00,,7.00,,0.04,0.24,,10.00,0.04,11.00,112.00,0.40,1.00,0.10,56.00,303;00,,0.05,0.10,8.10,0.03,0.02,0.18,0.22,0.05,3,3000
PÊCHE PULPE ET PEAU FRAÎCHE,163,39,88.87,0.91,9.54,0.25,,1.47,,1.87,,0.08,4.56,0.00,,1.50,,0.43,,,0.02,0.07,0.09,,,,,,,,,,,0.00,0.08,,,0.00,,6.00,,0.07,0.25,3.00,9.00,0.06,20.00,190.00,0.10,0.00,0.17,32.00,162.00,,0.73,2.60,6.60,0.02,0.03,0.81,0.15,0.03,4,4000
POIRE FRAÎCHE,243,58,83.71,0.38,15.46,0.12,,6.24,,2.76,,0.01,0.78,2.56,,3.10,,0.33,,,0.01,0.03,0.03,,,,,,,,,,,0.00,0.03,,,0.00,,9.00,,0.08,0.17,,7.00,0.05,11.00,119.00,0.10,1.00,0.10,2.00,13;0,,0.12,4.50,4.20,0.01,0.03,0.16,0.05,0.03,7,7000
POMME FRAÎCHE,180,43,85.40,0.30,12.30,0.00,,,,,,,,0.00,,1.80,,2.00,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,3.00,,,0.20,,4.00,,,75.00,,2.00,0.10,3.00,10.20,,,,5.00,0.02,0.01,0.10,,,,
PRUNE FRAÎCHE,192,46,87.23,0.70,11.42,0.28,,3.07,,5.06,,0.08,1.57,0.10,,1.40,,0.37,,,0.02,0.13,0.04,,,,,,,,,,,0.00,0.04,,,0.00,,6.00,,0.06,0.17,,7.00,0.05,16.00,157.00,0.00,0.00,0.10,34.00,190.00,,0.26,6.40,9.50,0.03,0.03,0.42,0.14,0.03,5,5000
RAISIN FRAIS,273,65,80.72,0.72,17.39,0.72,,,,,,,,0.00,,0.72,,0.44,,,,,,,,,,,,,,,,,,,,0.00,,14.49,,,0.26,,,,,195.65,,0.00,,7.25,42.83,,,,10.87,,,,,,,
RHUBARBE FRAÎCHE,46,11,96.90,0.60,1.90,0.10,,,,,,,,,,3.20,,,,,,,,,,,,,,,,,,,,,,0.00,,52.00,,50.00,0.50,1.00,13.00,130.00,24.00,270.00,,2.00,310.00,12.00,,,,,10.00,0.02,0.03,0.20,,0.04,,
EAU MINÉRALE FAIBLEMENT MINÉRALISÉE,0,0,99.90,0.00,0.00,0.00,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.10,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2.00,,0.01,0.00,,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,
Eau de source Cristaline embouteillée non gazeuse,0,0,,0,0,0,0,0,,,,,,,0,0,0,0.018,0,0,,,,,,,,,,,,,,,,,,,0.0026,12.4,1.6,,,,2.5,,,0.35,,1.1,,,,,,,,,,,,,,
JUS D'ORANGE FRAIS,188,45,88.30,0.70,10.40,0.20,,,,,,,,1.80,,0.20,,0.40,,,0.02,0.04,0.04,,,,,,,,,,,0.01,0.03,,,0.00,,11.00,,0.04,0.20,2.00,11.00,0.01,17.00,200.00,0.10,1.00,0.05,20.00,33.00,,0.04,0.10,50.00,0.09,0.03,0.40,0.19,0.04,30,30000
JUS DE CITRON,105,25,90.73,0.38,6.63,0.00,,,,,,,,5.83,,0.40,,0.26,,,0.00,0.00,0.00,,,,,,,,,,,0.00,0.00,,,0.00,,7.00,,0.03,0.03,,6.00,0.01,6.00,124.00,0.10,1.00,0.05,2.00,3.00,,0.15,0.00,46.00,0.03,0.01,0.10,0.10,0.05,13,13000
CITRON PULPE FRAIS,121,29,88.98,1.10,5.50,0.30,,,,,,,,,,2.80,,0.30,,,0.04,0.01,0.09,,,,,,,,,,,0.03,0.06,,,0.00,,26.00,,0.04,0.60,,8.00,0.03,16.00,138.00,0.40,2.00,0.06,2.00,3.00,,0.15,0.00,53.00,0.04,0.02,0.10,0.19,0.08,11,11000
AMANDE SÈCHE GRILLÉE SANS SEL,2498,597,2.60,22.09,8.29,52.83,,0.00,,0.04,,0.14,4.72,2.59,,11.80,,3.20,,,4.05,33.66,12.65,,,,,,,,,,,0.00,12.65,,,0.00,,266.00,,1.17,4.51,,286.00,2.62,489.00,746.00,2.80,1.00,3.54,0.10,1.00,,26.00,0.00,0.00,0.07,0.86,3.85,0.23,0.13,33,33000
AMANDE SÈCHE NATURELLE,2418,578,5.25,21.26,9.30,50.64,,0.00,,0.12,,0.14,4.54,3.13,,11.80,,3.11,,,3.88,32.16,12.21,,,,,,,,,,,0.00,12.21,,,0.00,,248.00,,1.11,4.30,2.00,275.00,2.54,474.00,728.00,2.80,1.00,3.36,0.50,3.00,,25.87,0.00,0.00,0.24,0.81,3.93,0.35,0.13,29,29000
CACAHUÈTE GRILLÉE SALÉE,2448,585,1.55,23.68,10.84,49.66,,,,,,,,9.33,,8.00,,3.60,,,6.89,24.64,15.69,,,,,,,,,,,0.00,15.69,,,0.00,,54.00,,0.67,2.26,19.00,176.00,2.08,358.00,658.00,7.50,813.00,3.31,0.00,0.00,,7.80,0.00,0.00,0.44,0.10,13.53,1.40,0.26,145,145000
CACAHUÈTE GRILLÉE SANS SEL,2448,585,1.55,23.68,10.84,49.66,,,,,,,,8.91,,8.00,,3.60,,,6.89,24.64,15.69,,,,,,,,,,,0.00,15.69,,,0.00,,54.00,,0.67,2.26,,176.00,2.08,358.00,658.00,7.50,6.00,3.31,0.00,0.00,,6.93,0.00,0.00,0.44,0.10,13.53,1.40,0.26,145,145000
MÉLANGE DE FRUITS SECS GRILLÉS SANS SEL,2485,594,1.75,17.30,15.44,51.45,,,,,,,,12.35,,9.00,,4.15,,,6.90,31;40,10.77,,,,,,,,,,,0.19,10.54,,,0.00,,70.00,,1.28,3.70,12.00,225.00,1.94,435.00,597.00,23.00,12.00,3.80,2.00,,,6.00,,0.40,0.20,0.20,4.70,1.21,0.30,50,50000
NOISETTE NATURELLE,2628,628,5.31,14.95,5.36,60.75,,0.07,,0.07,,0.00,4.20,2.66,,9.70,,2.29,,,4.46,45.65,7.92,,,,,,,,,,,0.09,7.83,,,0.00,,114.00,,1.73,4.70,16.80,163.00,6.18,290.00,680.00,2.40,0.00,2.45,2.00,11.00,,15.03,14.20,6.30,0.64,0.11,1;80,0.92,0.56,113,113000
NOIX NATURELLE,2736,654,4.07,15.23,13.71,65.21,,0.09,,0.08,,0.00,2.44,4.40,,6.70,,1.78,,,6.13,8.93,47.17,,,,,,,,,,,9.08,38.09,,,0.00,,98.00,,1.59,2.91,9.00,158.00,3.41,346.00,441.00,4.90,2.00,3.09,2.00,12.00,,0.70,2.70,1.30,0.34,0.15,1.13,0.57,0.54,98,98000
NOIX DE CAJOU GRILLÉE SALÉE,2402,574,1.70,15.31,23.90,46.35,,,,,,,,24.68,,3.00,,3.95,,,9.19,27.32,7.84,,,,,,,,,,,0.16,7.66,,,0.00,,45.00,,2.22,6.00,11.00,260.00,0.83,490.00,565.00,11.70,640.00,5.60,0.00,0.00,,0.92,34.70,0.00,0.20,0.20,1.40,1.22,0.26,69,69000
NOIX DE CAJOU GRILLÉE NON SALÉE,2402,574,1.70,15.31,23.90,46.35,,,,,,,,24.68,,3.00,,3.95,,,9.19,27.32,7.84,,,,,,,,,,,0.16,7.66,,,0.00,,45.00,,2.22,6.00,11.00,260.00,0.83,490.00,565.00,11.70,16.00,5.60,0.00,0.00,,0.92,34.70,0.00,0.20,0.20,1.40,1.22,0.26,69,69000
NOIX DE COCO SÈCHE,2761,660,3.00,6.88,12.93,64.53,,,,,,,,0.00,,16.30,,1.94,,,57.22,2.75,0.71,,,,,,,,,,,0.00,0.71,,,0.00,,26.00,,0.80,3.32,2.98,90.00,2.75,206.00,513.00,18.50,37.00,2.01,0.00,0.00,,0.44,0.30,1.50,0.06,0.10,0.60,0.80,0.30,9,9000
PÂTE D'AMANDE,1715,410,10.00,7.40,54.38,18.10,,,,,,,,1.09,,4.80,,4.51,,,,,,,,,,,,,,,,,,,,0.00,,110.00,,,1.40,,59.00,,,120.00,,12.00,1.40,0.00,0.00,,,,0.00,,0.15,,,,,
PÂTE D'ARACHIDE,2464,589,1.25,25.07,10.36,49.70,,,,,,,,6.69,,6.60,,2.89,,,9.58,23.56,14.16,,,,,,,,,,,0.08,13.85,,,0.00,,53.00,,0.61,2.04,,194.00,1.77,392.00,631.00,7.50,470.00,3.25,0.00,0.00,0.00,7.67,0.80,0.00,0.13,0.11,13.69,1.20,0.45,92,92000
PISTACHE GRILLÉE SALÉE,2377,568,2.03,21.35,17.22,45.97,,0.13,,0.23,,0.19,7.26,8.67,,10.30,,3.87,,,5.56,24.22,13.90,,,,,,,,,,,0.26,13.64,,,0.00,,110.00,,1.33,4.20,,120.00,1.28,485.00,1042.00,9.30,405.00,2.30,26.00,157.00,,1.93,13.20,2.30,0.84,0.16,1.43,0.51,1.27,50,50000
PISTACHE GRILLÉE SANS SEL,2389,571,1.99,21.35,17.97,45.97,,0.13,,0.23,,0.19,7.26,9.54,,10.30,,3.05,,,5.56,24.22,13.90,,,,,,,,,,,0.26,13.64,,,0.00,,110.00,,1.33,4.20,,120.00,1.28,485.00,1042.00,9.30,10.00,2.30,26.00,157.00,,1.93,13.20,2.30,0.84,0.16,1.43,0.51,1.27,50,50000
PRUNEAU SEC,682,163,39.00,2.50,40.00,0.30,,,,,,,,,,16.00,,,,,,0.20,0.06,,,,,,,,,,,,,,,0.00,,50.00,,,2.90,,40.00,,95.00,950.00,,12.00,,0.00,450.00,0.00,2.30,,2.00,0.10,0.20,1.70,0.46,0.13,7,7000
RAISIN SEC,1322,316,15.30,3.30,79.20,0.40,,,,,,,,2;50,,5.30,,1.80,,,,,,,,,,,,,,,,,,,,0.00,,49.00,,0.31,2.80,,33.00,0.31,97.00,751.00,,12.00,0.27,0.80,4.80,,0.47,,0.24,0.16,0.09,0.82,0.05,0.25,3.3,3300
SÉSAME GRAINE,2391,573,4.69,17.73,13.76,49.67,,,,,,,,11.35,,11.80,,4.45,,,6.69,18.76,21.77,,,,,,,,,,,0.38,21.38,,,0.00,,975.00,,4.08,14.55,,351.00,2.46,629.00,468.00,5.70,11.00,7.75,0.90,5.00,,0.25,0.00,0.00,0.79,0.25,4.52,0.05,0.79,97,97000
TOURNESOL GRAINE SALÉE,2435,582,1.20,19.33,14.12,49.80,,0.00,,0.03,,0.00,2.70,12.34,,1.20,,12.34,,,5.22,9.51,32.88,,,,,,,,,,,0.07,32.78,,,0.00,,70.00,,1.83,3.80,,129.00,2.11,1155.00,850.00,79.30,780.00,5.29,2.00,14.00,,21.27,2.70,1.40,0.11,0.25,7.04,7.04,0.80,237,237000
PATATE DOUCE CRUE,318,76,79.78,1.57,17.61,0.05,,0.71,,1.01,,0.00,2.17,10.72,,3.00,,0.99,,,0.02,0.00,0.01,,,,,0.017,0.045,1.93,0.7,4.35,9.04,1.29,,,,0,0.0075,220,,0.88,15.7,0.6,253,2.26,586,1740,8.8,3,2.95,0,13,0,0.85,47,6,0.87,0.87,1.62,1.36,0.4,328,0
Pomme de terre frites,1296,310,41.2 7,3.54,37. 17,15.93,,0.00,,0.00,,0.00,0.00,34.51,,2.65,,2.10,,,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POMME DE TERRE CRUE,322,77,79.34,2.02,17.47,0.09,,n.n,,0.33,,0.00,0.17,14.49,,2.20,,1.08,,,0.03,0.00,0.04,,,,,,,,,,,0.00,0.03,,,0.00,,2.00,,0.05,0.47,,3.00,0.05,13.00,3.00,2.80,9.00,0.06,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CERVELLE D'AGNEAU CRUE,510,122,79.20,10.40,0.00,8.58,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.33,,,2.19,1.55,0.88,,,,,,,,,,,0.49,0.26,,,1352.00,,9.00,,0.24,1.75,,12.00,0.04,270.00,269.00,9.00,112.00,1.17,0.00,0.00,,1.41,,16.00,0.13,0.30,3.90,0;92,0;29,3.00,11.30
CERVELLE DE VEAU CRUE,586,140,76.29,10.86,1.05,10.30,,0.00,,0.00,,0.00,0.00,1.05,,0.00,,1.51,,,2.92,2.40,0.46,,,,,,,,,,,0.00,0.46,,,3010.00,,43.00,,0.29,2.55,,13.00,0.03,362.00,274.00,21.30,126.00,1.02,14.00,88.00,,0.99,0.00,10.70,0.09,0.20,3.55,2.01,0.23,3.00,9.51
fOIE D'AGNEAU CRU,582,139,71.37,20.38,1.78,5.02,,,,,,,,,,0.00,,1.44,,,1.94,1.05,0.75,,,,,,,,,,,0.07,0.68,,,371.00,,7.00,,6.98,7.37,,19.00,0.18,364.00,313.00,82.40,70.00,4.66,7391.00,0.00,,0.49,,4.00,0.34,3.63,16.11,6.13,0.90,230.00,90.05
fOIE DE VEAU CRU,565,135,70.81,20.36,3.89,3.63,,0.00,,0.00,,0.00,0.00,3.89,,0.00,,1.31,,,1.23,0.48,0.47,,0.02,,0.44,,,,,,,0.02,0.44,,,275.00,,5.00,,9.76,4.90,,18.00,0.31,387.00,313.00,39.70,69.00,4.00,4988.00,232.00,0.40,0.38,3.10,1.30,0.19,2.76,13.18,7.17,1.08,290.00,59.30
PATTE CRUE,971,232,62.85,21.94,0.00,16.05,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.66,,,4.34,8.01,1.54,,,,,,,,,,,,1.40,,,10.00,,0.00,,0.06,0.98,,5.00,0.02,82.00,33.00,23.00,73.00,1.05,0.00,0.00,,0.09,0.00,0.00,0.02,0.06,0.59,0.24,0.04,2.00,0.41
ROGNON D'AGNEAU CRU,406,97,97;23,15.74,0.82,2.95,,,,,,,,,,,,1.26,,,1.00,0.63,0.55,,,,,,,,,,,0.15,0.35,,,337.00,,13.00,,0.45,6.38,,17.00,0.12,246.00,277.00,126.90,156.00,2.24,95.00,0.00,,0.45,,11.00,0.62,2.24,7.51,4.22,0.22,28.00,52.41
ROGNON DE BOEUF CRU,414,99,77.89,17.40,0.29,3.09,,0.00,,0.00,,0.00,0.00,0.29,,0.00,,1.33,,,0.87,0.59,0.55,,,,,,,,,,,0.01,0.52,,,411.00,,13.00,,0.43,4.60,,17.00,0.14,257.00,262.00,141.00,182.00,1.92,419.00,0.00,0.80,0.22,0.00,9.40,0.36,2.84,8.03,3.97,0.67,98.00,27.50
SALAMI,632,151,71.90,15.30,0.30,9.40,,,,,,,,0.00,,0.10,,3.10,,,2.78,3.17,2.47,,,,,,,,,,,0.07,2.38,,,79.00,,40.00,,0.19,1.25,,22.00,0.02,266.00,216.00,26.40,1004.00,2.32,2.00,0.00,0.59,0.24,1.30,0.00,0.43,0.30,3.98,1.07,0.43,10.00,0.99
TRIPES DE BOEUF CRUES,343,82,84.16,12.07,0.00,3.69,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.55,,,1.29,1.53,0.18,,,,,,,,,,,0.00,0.16,,,0.15,,69.00,,0.07,0.59,,13.00,0.09,64.00,67.00,12.50,97.00,1.42,0.00,0.00,,0.09,0.00,0.00,0.00,0.06,0.88,0.23,0.01,5.00,1.39
VIANDE DE LAPIN CRUE,569,136,72.82,20.05,0.00,5.55,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.72,,,1.66,1.50,1.08,,,,,,,,,,,0.22,0.86,,,57.00,,13.00,,0.15,1.57,,19.00,0.03,213.00,330.00,23.70,41.00,1.57,0.00,0.00,,0.65,,0.00,0.10,0.15,7.27,0.80,0.50,8.00,7.16
VIANDE DE BOEUF CRUE,753,180,68.61,19.70,0.00,10.62,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.47,,,4.52,4.39,0.41,,,,,,,,,,,0.12,0;29,,,52.00,,5.00,,0.07,1.97,,20.00,0.01,191.00,350.00,17.90,71.00,3.47,0.00,0.00,,0.14,1.30,0.00,0.11,0.15,4.55,0.32,0.42,7.00,2.97
VIANDE DE CHAMEAU CRUE,1117,267,59.10,19.60,0.00,20.30,,,,,,,,,,,,,,,8.60,9.70,0.82,,,,,,,,,,,,,,,69.00,,8.00,,,2.30,,,,130.00,,,,3.30,16.00,,,,,,0.06,0.36,4.50,,,,
VIANDE DE CHÈVRE CRUE,456,109,75.84,20.60,0.00,2.31,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.11,,,0.71,1.03,0.17,,,,,,,,,,,0.02,0.15,,,57.00,,13.00,,0.26,2.83,,,0.04,180.00,385.00,8.80,82.00,4.00,0.00,0.00,,,,0.00,0.11,0.49,3.75,,,5.00,1.13
VIANDE D'AGNEAU CRUE,1021,244,63.30,17.19,0.00,18.94,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.92,,,8.24,7.77,1.50,,,,,,,,,,,0;34,1.16,,,70.00,,14.00,,0.10,1.58,,22.00,0.02,162.00,244.00,19;80,61.00,3.52,0.00,0.00,,0;21,,0.00,0.11,0.22,6.08,0.69,0.13,19.00,2.47
fOIE DE VOLAILLE CRU,498,119,76.46,16.92,0.73,4.83,,0.00,,0.00,,0.00,0.00,0.73,,0.00,,1.06,,,1.56,1.25,0.82,,,,,,,,,,,0.01,0.80,,,345.00,,8.00,,0.49,8.99,,19.00,0.26,297.00,230.00,54.60,71.00,2.67,3302.00,56.00,,0.70,0.00,17.90,0.31,1.78,9.73,6.23,0.85,588.00,16.58
VIANDE DE POULET CRUE,1079,258,61.84,17.55,0.00,20.33,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,1.04,,,5.71,8.24,4.44,,,,,,,,,,,0.24,4.03,,,71.00,,10.00,,0.07,1.04,,20.00,0.02,172.00,204.00,14.40,71.00,1.19,52.00,0.00,,0.33,2.44,0.00,0.11,0.17,6.26,0.92,0.33,6.00,0.32
VIANDE DE DINDE CRUE,561,134,72.74,22.37,0.00,4.25,,0.00,,0.00,,0.00,0.00,0.00,,0.00,,0.90,,,1.21,1.52,1.06,,,,,,,,,,,0.07,0.98,,,81.00,,13.00,,0.14,1.42,,22.00,0.02,173.00,243.00,24.80,58.00,1.97,1.00,0.00,,0.35,,0.00,0.04,0.15,4.04,0.87,0.43,9.00,0.42
JAMBON DE DINDE,549,131,70.61,16.98,1.50,6.34,,0.00,,0.00,,0.00,0.00,1.50,,0.00,,4.57,,,1.95,2.92,1.47,,,,,,,,,,,,,,,67.20,,19.00,,,2.50,,18.07,,141.30,208.70,,970.00,2.45,0.00,0.00,,,,0.00,0.04,0.17,2.19,,0.30,9.04,0.33
Merguez crue,1310,316,56.2,13.5,13.5,2.5,28,2,,,,,,,,0,0,2.78,0,traces,11.2,,,,,,,,,,,,,,,,,,1.48,22.1,,0.083,,7,23.3,0.055,60,,2.38,900,2.78,,,,,,,,,,,,,
Merguez pur boeuf crue,,,39.8,11,11,,43.5,,,,,,,,,0,0,,0,traces,,,,,,,,,,,,,,,,,,,,,1190,,,,,,,,,,,,,,,,,,,,,,,
Merguez boeuf et mouton cuite,1170,283,54.8,19.8,19.8,1.8,21.8,1.6,,,,,,,< 1,0,0,3.93,0,traces,12,8,0.81,"< 0,022","< 0,022","< 0,022",0.021,0.042,0.72,5.85,3.04,8,0.53,0.17,0.053,0.038,0.019,71.4,2.33,38,,0.081,2.04,25,22.8,0.04,128,513,< 10,930,3.3,23,560,"< 0,5",1.7,,< 1,0.059,0.2,4.7,0.26,0.24,< 20,1.45
Merguez boeuf et mouton crue,1300,315,,14,14,2.8,27.6,0,,,,,,,,0,0,1.58,0,traces,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,630,,,,,,,,,,,,,,
Chorizo,1790,433,34,23.5,23.5,3.05,36.1,2.01,,,,,,,,0.93,0,4.24,0,traces,14.3,16.3,,,,,0.035,0.037,0.51,8.51,4.25,15.3,5.3,0.29,0.14,,,,4.24,,,,,7,,,,,,1690,,,663,,,,,,,,,,,
Mortadelle,1260,305,55.1,15,15,1.4,26.7,0,,,,,,,,0,0.016,2.97,0,traces,10.6,11.5,,,,,0.025,0.025,0.39,6.42,3.33,11.5,2.32,0.089,0.038,,,72.5,2.13,36.5,1340,"< 0,1",0.8,27.8,26.9,"< 0,1",127,270,< 5,851,1.5,7,,0.78,0.5,,,0.33,0.16,4.09,0.52,0.25,31.5,0.68
Poulet nuggets,1050,250,48.6,15.6,15.6,19.4,11.6,1.3,"< 0,2","< 0,2",0.7,"< 0,2",0.6,"< 0,2",16.6,2.4,"< 0,5",2.06,0,0.41,2.68,8.05,0.25,"< 0,01","< 0,01",0.04,"< 0,01",0.02,0.05,1.82,0.64,7.44,0.02,0.21,0.01,"< 0,01","< 0,01",< 2,1.37,25,792,0.07,1,60,25,0.23,190,270,< 20,547,0.67,26.5,16.4,"< 0,25",2.41,0.99,"< 0,5",0.083,0.025,7.15,0.77,0.098,10.9,0.23
Poulet escalope panée,1410,339,41.8,7.25,7.25,21.7,24,1.9,"< 0,2",,0.9,"< 0,2",1,"< 0,4",14.7,3.4,0,1.8,0,traces,5.28,12.3,5.04,"< 0,011","< 0,011",0.023,0.023,"< 0,011",0.068,3.97,1.04,10.9,4.79,0.2,0.023,"< 0,011","< 0,011",49.3,1.26,22,786,0.05,1.6,< 20,26,0.33,160,230,< 50,504,0.8,40.2,,"< 0,5",4.55,"< 0,8",,0.11,0.02,3.71,0.71,0.14,9.85,0.45
